condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category,total_days
1,5,7.000000000000001,24.11,0,8,0,2,1.30
1,43,24.0,17.35,0,1,0,2,0.91
1,43,2.0,5.89,0,1,0,1,0.34
0,17,98.0,17.57,2,9,1,1,0.39
0,42,7.000000000000001,24.03,2,1,1,2,0.23
1,1,9.0,12.4,0,7,0,2,13.48
0,12,56.99999999999999,47.6,0,7,1,2,6.74
0,43,95.0,22.27,0,1,1,2,1.08
1,1,16.0,21.45,0,7,0,1,6.08
2,1,44.0,27.76,2,9,0,1,2.06
1,15,62.0,40.07,0,1,0,1,0.28
0,1,78.0,24.79,0,1,1,1,1.07
1,38,76.0,5.93,0,7,0,2,6.06
0,39,41.0,47.34,0,1,1,1,0.89
1,38,87.0,15.1,0,1,0,2,2.09
0,13,83.0,23.42,2,4,1,2,2.09
0,42,15.0,42.13,1,9,1,2,1.07
0,6,45.0,27.72,1,9,1,1,1.81
1,1,23.0,42.32,0,1,0,2,1.07
1,38,68.0,15.56,0,7,0,2,12.07
0,12,28.999999999999996,18.98,0,1,1,2,0.67
2,5,50.0,30.08,0,1,0,1,0.27
1,1,98.0,40.25,1,9,0,2,13.07
0,31,79.0,20.36,0,1,1,2,0.24
2,12,99.0,38.71,1,9,0,2,0.53
3,12,51.0,13.8,2,4,2,4,1.06
0,1,35.0,39.49,2,1,1,1,0.28
0,12,70.0,5.48,0,1,1,2,7.67
0,1,83.0,20.17,0,1,1,2,2.07
1,15,27.0,36.71,1,9,0,1,3.09
0,15,79.0,31.53,0,1,1,1,0.35
0,40,63.0,42.4,0,1,1,1,0.28
1,1,22.0,40.93,0,7,0,2,12.01
3,12,28.999999999999996,38.19,2,4,2,4,2.05
0,31,17.0,17.45,0,1,1,2,0.49
3,25,44.0,45.65,2,4,2,4,1.06
0,43,2.0,24.87,0,1,1,2,3.30
1,30,32.0,14.18,2,1,0,1,9.15
0,12,80.0,35.44,0,1,1,2,2.16
0,40,8.0,9.37,0,1,1,1,0.40
1,34,19.0,25.65,0,1,0,2,1.07
1,1,36.0,18.8,0,1,0,1,0.35
3,12,76.0,13.47,2,4,2,4,0.56
0,12,33.0,27.3,0,1,1,2,1.10
1,13,5.0,21.84,0,7,0,2,1.77
3,12,76.0,19.61,2,4,2,4,2.07
0,1,90.0,47.9,2,1,1,1,0.22
3,26,99.0,11.49,1,9,2,1,0.16
0,39,13.0,33.06,0,1,1,1,0.30
0,1,9.0,15.97,1,9,1,2,2.13
0,1,32.0,9.95,0,1,1,1,0.33
1,38,84.0,28.65,0,7,0,2,3.06
2,15,41.0,31.53,2,9,0,1,0.55
3,1,53.0,41.23,1,9,2,1,0.07
0,1,31.0,17.15,0,1,1,1,12.12
1,43,37.0,10.44,1,9,0,2,2.07
2,34,38.0,12.77,2,4,0,4,4.56
0,1,81.0,7.87,0,1,1,2,2.24
2,1,36.0,40.08,1,9,1,1,0.12
1,1,68.0,23.01,2,9,0,1,3.06
2,1,88.0,7.47,1,9,0,4,1.06
1,9,6.0,14.32,0,1,0,1,13.27
0,1,40.0,16.95,0,1,1,2,0.56
1,1,15.0,12.49,2,1,0,2,0.21
1,1,56.00000000000001,5.14,0,1,0,1,2.07
0,33,23.0,42.09,2,1,1,2,0.40
1,12,60.0,6.31,0,1,0,2,1.58
0,1,99.0,23.41,2,1,1,2,1.49
1,43,48.0,47.05,0,1,0,1,0.25
0,43,94.0,18.88,0,1,1,2,0.36
0,1,38.0,45.9,0,1,1,2,0.27
1,42,72.0,47.2,0,1,0,2,0.31
1,1,93.0,6.0,0,1,0,2,0.28
2,12,1.0,42.94,0,7,1,2,1.06
3,1,87.0,11.82,1,9,2,1,0.07
3,12,27.0,13.84,2,4,2,4,1.05
1,15,28.999999999999996,10.15,0,1,0,1,0.58
1,15,57.99999999999999,47.05,0,1,0,1,0.23
2,15,10.0,46.15,2,9,1,1,1.06
1,12,67.0,10.77,0,1,0,2,0.82
1,43,94.0,12.53,0,7,0,2,13.50
1,5,81.0,26.9,2,4,0,1,3.07
1,5,19.0,8.62,0,7,0,2,2.13
1,1,83.0,22.94,0,1,0,2,0.36
2,5,96.0,25.24,2,2,0,1,0.29
2,1,74.0,30.01,1,9,0,1,0.17
1,1,31.0,10.53,0,1,0,1,0.43
0,13,51.0,15.24,1,9,1,2,0.42
1,30,6.0,33.92,2,1,0,1,0.31
2,43,26.0,44.11,0,7,1,2,1.56
1,1,65.0,24.86,2,1,0,2,2.19
1,43,80.0,11.03,0,1,0,1,0.25
0,1,39.0,15.72,0,7,1,2,3.06
2,15,88.0,47.22,1,9,0,1,0.64
3,12,83.0,20.29,0,1,2,0,0.58
0,38,17.0,37.21,0,1,1,2,0.82
1,12,75.0,48.53,0,7,0,2,2.26
1,5,45.0,41.67,1,9,0,2,0.75
0,1,60.0,36.93,0,1,1,2,0.23
2,28,10.0,35.88,1,9,0,1,0.10
1,42,15.0,31.27,0,1,0,2,0.28
0,43,51.0,20.91,0,1,1,2,0.22
1,9,17.0,21.28,2,1,0,1,0.24
3,12,82.0,13.65,2,4,2,4,1.06
0,1,26.0,17.56,1,9,1,2,1.07
1,2,71.0,11.75,0,1,0,2,2.19
2,1,82.0,9.3,2,2,1,1,0.17
1,1,68.0,19.25,0,1,0,1,13.37
0,13,46.0,14.61,1,9,1,2,1.55
3,15,18.0,5.39,1,9,2,1,0.07
3,25,78.0,41.73,1,9,2,1,0.07
1,38,78.0,11.83,0,1,0,2,0.73
3,12,86.0,14.75,2,4,2,4,0.56
2,1,38.0,46.7,1,9,1,2,0.28
1,15,32.0,22.57,0,1,0,1,0.31
0,43,87.0,7.75,0,7,1,2,3.44
1,1,18.0,5.13,1,9,0,1,2.07
1,43,40.0,14.84,0,1,0,2,1.26
0,15,86.0,48.95,2,1,1,1,1.10
2,26,94.0,21.71,2,9,0,1,0.81
2,15,31.0,45.68,1,9,1,1,0.10
0,38,31.0,32.71,0,1,1,2,0.23
1,1,64.0,46.29,0,1,0,2,0.23
0,30,97.0,17.06,2,1,1,1,0.24
0,43,70.0,5.84,0,7,1,2,2.07
0,38,55.00000000000001,13.12,1,9,1,2,0.99
0,43,35.0,11.94,0,1,1,4,0.72
2,39,20.0,24.01,1,9,1,1,0.10
1,21,6.0,21.13,0,1,0,1,0.31
2,15,4.0,31.87,0,1,1,1,0.24
2,38,96.0,9.14,0,7,0,2,0.41
1,42,50.0,33.56,0,7,0,2,1.07
1,1,21.0,19.41,0,1,0,1,0.24
2,43,70.0,46.51,1,9,1,1,0.22
1,1,37.0,8.1,0,1,0,2,1.07
2,1,42.0,45.09,1,9,1,1,0.15
1,30,63.0,37.18,0,1,0,1,0.28
2,15,81.0,7.19,0,1,1,1,0.22
0,1,21.0,28.42,2,1,1,1,0.26
0,5,79.0,44.95,0,1,1,2,8.79
0,17,55.00000000000001,42.09,0,1,1,1,0.27
0,12,4.0,27.21,0,1,1,2,0.94
0,1,79.0,10.45,0,1,1,1,0.53
1,43,19.0,30.29,0,1,0,2,6.07
2,15,73.0,25.61,2,9,1,1,2.06
1,1,27.0,12.12,0,7,0,2,2.06
2,1,12.0,12.27,1,9,0,1,0.18
2,12,18.0,8.34,0,1,1,2,0.32
1,1,65.0,36.74,0,1,0,2,0.29
1,12,1.0,15.9,0,1,0,2,0.23
0,12,54.0,7.01,0,1,1,2,2.12
1,38,93.0,24.62,0,1,0,2,5.10
0,30,2.0,33.23,0,1,1,1,4.07
1,38,93.0,43.49,0,1,0,2,2.07
1,1,41.0,17.69,1,9,0,1,1.16
0,43,94.0,35.66,0,1,1,2,2.12
0,43,71.0,48.8,0,7,1,2,5.20
3,12,62.0,39.82,2,2,2,4,2.06
1,12,43.0,45.31,0,1,0,2,2.08
1,15,24.0,10.63,0,7,0,1,1.23
0,7,85.0,12.49,0,1,1,2,6.07
1,43,47.0,44.83,1,9,0,2,11.07
0,5,23.0,40.92,0,1,1,2,5.30
1,43,100.0,5.35,0,1,0,2,7.07
0,31,89.0,29.04,0,1,1,2,0.28
3,12,23.0,18.86,0,2,2,4,3.06
0,5,54.0,40.37,0,1,1,2,0.80
0,15,6.0,42.7,0,1,1,1,0.25
2,11,76.0,40.49,0,7,1,2,3.05
1,15,63.0,15.65,0,1,0,1,8.34
1,15,89.0,18.82,2,1,0,1,0.30
0,7,71.0,37.98,1,9,1,2,1.57
1,1,6.0,35.09,0,7,0,2,4.94
1,19,7.000000000000001,9.49,0,1,0,2,5.10
1,38,38.0,7.14,0,7,0,2,18.07
2,12,52.0,46.29,0,7,1,2,1.05
2,17,13.0,12.11,2,9,1,1,1.06
2,21,99.0,43.82,1,9,0,1,0.13
1,1,53.0,20.47,1,9,0,1,1.13
1,12,95.0,14.34,1,9,0,2,10.89
1,30,60.0,25.65,1,9,0,1,0.28
0,12,64.0,29.67,2,1,1,2,0.24
2,17,35.0,46.42,1,9,1,1,3.08
1,1,37.0,16.34,0,1,0,1,0.24
0,1,84.0,47.02,0,1,1,2,4.36
2,1,7.000000000000001,48.58,1,9,0,1,0.12
2,43,6.0,22.28,1,9,0,2,2.07
0,40,55.00000000000001,34.49,1,9,1,1,2.09
0,15,82.0,45.92,0,1,1,1,0.75
1,12,92.0,39.05,0,1,0,2,1.06
2,9,65.0,38.3,1,9,0,1,0.06
1,43,90.0,29.89,0,7,0,2,2.08
0,1,52.0,39.59,1,9,1,2,2.09
0,38,43.0,34.37,0,8,1,2,7.10
2,1,55.00000000000001,17.91,1,9,0,1,0.22
1,15,28.999999999999996,47.11,0,1,0,1,1.08
1,9,64.0,24.47,2,9,0,1,3.06
1,42,55.00000000000001,45.75,1,9,0,2,0.49
3,12,39.0,20.21,2,4,2,4,1.06
1,15,90.0,34.23,0,8,0,1,0.70
1,43,32.0,15.62,1,9,0,2,0.60
0,43,93.0,27.75,0,1,1,2,3.78
3,43,54.0,25.72,1,9,2,4,2.06
2,43,11.0,7.45,1,9,0,2,0.25
1,15,80.0,41.24,2,9,0,1,2.10
3,12,76.0,31.61,2,4,2,4,0.14
1,30,38.0,25.27,1,9,0,1,6.08
2,21,44.0,30.06,1,9,1,1,0.16
1,1,38.0,28.39,2,4,0,2,5.06
0,38,82.0,24.82,0,1,1,2,0.27
0,30,86.0,42.99,1,9,1,1,4.08
2,15,3.0,18.5,2,9,0,1,0.40
1,1,38.0,43.88,0,1,0,2,1.08
1,42,17.0,8.15,2,1,0,2,10.21
0,13,52.0,30.17,0,1,1,2,4.60
1,42,10.0,32.97,2,1,0,2,0.23
1,1,3.0,31.65,0,1,0,2,1.81
1,42,94.0,49.2,0,1,0,2,2.17
1,9,54.0,7.19,2,1,0,1,0.28
0,1,87.0,27.27,1,9,1,1,1.09
2,15,1.0,29.99,0,1,0,1,0.20
0,1,33.0,46.59,0,1,1,2,0.33
0,1,7.000000000000001,45.7,0,1,1,2,1.07
1,43,59.0,10.45,0,7,0,2,10.33
0,1,93.0,15.45,2,1,1,1,0.36
2,43,37.0,36.12,2,4,1,1,0.79
0,17,76.0,8.98,0,1,1,1,2.06
2,1,98.0,10.0,0,7,0,2,2.90
2,42,37.0,23.5,1,9,0,2,0.14
2,15,45.0,36.06,1,9,0,1,0.13
2,12,20.0,30.45,1,9,1,2,0.23
0,15,44.0,8.84,2,1,1,1,0.32
0,1,28.999999999999996,13.31,0,7,1,2,5.64
0,1,84.0,25.14,2,1,1,1,0.32
0,1,44.0,42.56,0,1,1,2,0.48
0,42,24.0,27.09,0,7,1,2,3.56
1,12,52.0,39.88,0,7,0,2,5.91
1,15,85.0,7.53,0,1,0,1,0.35
3,25,78.0,27.64,2,4,2,4,1.06
3,12,8.0,13.06,2,4,2,4,2.06
0,17,39.0,25.19,0,1,1,1,2.07
2,1,39.0,7.81,1,9,0,2,2.07
0,9,35.0,45.2,0,1,1,1,0.33
2,1,39.0,26.89,1,9,1,1,0.12
1,30,3.0,36.21,0,1,0,1,2.12
2,43,97.0,7.5,1,9,0,2,0.48
0,1,17.0,21.82,0,1,1,2,0.24
3,1,32.0,12.04,0,4,2,4,1.06
0,21,20.0,45.17,2,1,1,1,0.45
2,34,61.0,20.22,2,4,1,2,0.18
1,12,85.0,44.12,2,1,0,2,0.26
2,5,20.0,15.36,1,9,1,1,0.10
0,43,4.0,43.6,0,1,1,2,1.24
2,39,85.0,46.02,0,1,1,1,0.23
1,43,12.0,16.35,0,7,0,2,2.07
1,2,31.0,42.38,0,1,0,2,5.09
1,13,40.0,13.35,0,7,0,2,3.08
1,12,11.0,8.74,1,9,0,2,4.09
1,9,50.0,25.78,0,1,0,1,1.04
1,1,55.00000000000001,49.22,2,1,0,1,0.41
0,12,79.0,7.32,0,1,1,2,0.24
2,25,70.0,35.21,2,9,1,1,2.07
3,1,34.0,6.8,2,4,2,4,0.08
1,15,62.0,23.49,2,9,0,1,0.35
0,1,99.0,47.58,1,9,1,2,0.32
0,38,3.0,48.16,1,9,1,2,1.07
0,18,59.0,21.21,0,1,1,1,3.07
1,43,60.0,36.42,0,1,0,2,3.08
1,7,12.0,41.3,0,1,0,2,0.27
2,21,36.0,35.88,1,9,0,1,0.20
1,13,26.0,30.38,0,7,0,2,2.44
0,12,93.0,20.49,0,1,1,2,2.07
0,43,63.0,32.56,0,7,1,2,4.06
0,38,38.0,6.42,0,7,1,2,5.08
2,40,59.0,22.29,0,1,1,1,0.28
2,43,99.0,24.24,0,7,0,2,0.48
0,15,87.0,47.95,1,9,1,1,0.33
1,38,72.0,16.67,0,1,0,2,0.91
1,42,64.0,23.24,0,1,0,2,0.82
1,1,87.0,5.49,0,1,0,1,0.90
0,1,12.0,25.9,0,1,1,1,2.61
2,24,95.0,14.35,0,1,0,2,1.06
0,22,46.0,18.0,0,8,1,2,13.08
2,38,4.0,42.41,1,9,1,2,4.57
1,43,20.0,27.87,1,9,0,2,2.33
2,1,19.0,28.76,2,9,0,1,0.56
1,5,70.0,33.49,1,9,0,2,3.50
1,15,83.0,42.76,0,1,0,1,0.49
1,43,28.000000000000004,25.13,2,1,0,1,0.32
0,1,97.0,26.44,0,1,1,1,0.35
3,30,46.0,17.06,1,9,2,1,0.10
1,5,18.0,14.22,0,1,0,2,3.95
3,12,75.0,49.76,2,4,2,4,2.05
0,43,79.0,7.75,2,1,1,1,0.25
1,30,46.0,18.58,2,1,0,1,0.28
1,12,14.000000000000002,25.46,1,9,0,2,4.27
1,1,16.0,33.53,2,1,0,1,0.33
2,9,2.0,7.47,1,9,1,1,0.21
0,1,74.0,37.75,2,1,1,2,0.49
0,38,81.0,32.63,0,1,1,2,2.07
1,43,13.0,8.55,0,7,0,2,7.21
1,3,56.00000000000001,21.93,2,1,0,1,0.31
0,40,82.0,21.16,0,7,1,1,2.08
1,1,17.0,35.05,1,9,0,2,3.14
1,5,99.0,33.64,0,1,0,1,0.27
0,38,92.0,17.51,0,7,1,2,4.50
1,43,69.0,26.84,0,1,0,2,5.63
1,15,81.0,29.77,2,1,0,1,0.24
0,1,32.0,17.86,0,1,1,1,1.24
2,42,3.0,40.03,2,2,1,2,0.15
2,38,1.0,29.03,0,7,1,2,1.06
0,1,77.0,43.89,0,1,1,1,0.42
1,38,77.0,27.16,0,7,0,2,3.08
2,1,11.0,33.15,0,7,1,4,2.56
1,30,46.0,38.21,0,1,0,1,0.29
1,15,40.0,28.1,1,9,0,1,0.91
0,9,83.0,5.2,0,1,1,1,0.41
2,5,73.0,14.38,0,7,1,2,0.11
0,1,12.0,42.22,0,1,1,2,1.10
3,15,67.0,49.53,1,9,2,1,0.40
2,1,35.0,7.74,0,7,0,1,0.73
3,12,94.0,48.07,2,4,2,4,0.56
2,43,59.0,40.76,0,1,1,2,1.51
0,38,76.0,47.99,2,1,1,2,0.23
1,5,97.0,22.58,0,7,0,2,4.11
2,15,38.0,11.18,2,9,0,1,1.06
2,1,89.0,27.77,0,1,0,1,0.22
1,30,59.0,14.08,1,9,0,1,0.26
2,15,73.0,16.76,0,1,0,1,0.24
0,43,55.00000000000001,46.31,0,1,1,1,0.57
1,1,74.0,22.27,2,9,0,1,1.06
1,13,41.0,17.35,2,1,0,2,1.66
3,30,30.0,29.11,1,9,2,1,0.06
2,40,22.0,24.59,2,9,0,1,1.06
2,1,47.0,14.36,1,9,1,1,0.11
0,28,76.0,21.48,2,2,1,1,12.07
1,38,17.0,18.06,2,4,0,2,4.53
1,31,15.0,21.97,0,1,0,2,2.10
3,17,83.0,5.8,1,9,2,1,0.09
0,43,90.0,26.01,0,7,1,2,2.06
1,12,22.0,40.7,0,7,0,2,12.58
2,12,13.0,44.91,2,4,0,2,0.14
1,43,100.0,47.93,0,1,0,2,1.09
2,19,28.000000000000004,23.18,0,7,1,2,0.56
1,30,7.000000000000001,34.32,0,1,0,1,0.39
0,1,72.0,30.58,2,1,1,1,2.86
0,38,4.0,12.33,2,1,1,2,0.28
1,12,48.0,23.29,0,1,0,2,1.08
0,42,52.0,31.0,0,1,1,2,1.07
2,9,54.0,10.92,1,9,0,1,0.25
0,15,93.0,29.97,2,9,1,1,1.07
1,12,31.0,27.31,0,1,0,2,10.09
2,1,63.0,38.69,2,9,1,1,2.06
0,42,15.0,29.19,0,1,1,2,0.28
1,13,40.0,19.16,0,7,0,2,1.56
2,40,8.0,48.04,2,9,1,1,1.06
0,15,76.0,17.59,0,1,1,1,0.40
0,39,68.0,8.37,0,1,1,1,0.23
0,15,19.0,31.4,0,1,1,1,0.23
2,43,16.0,30.77,2,4,0,2,2.06
0,15,76.0,14.34,2,1,1,1,0.31
1,5,69.0,36.16,0,1,0,1,0.23
2,1,67.0,27.63,1,9,1,1,1.06
0,20,71.0,14.11,0,7,1,2,1.21
1,31,55.00000000000001,6.71,0,1,0,2,1.07
1,1,55.00000000000001,49.83,1,9,0,2,2.16
1,1,52.0,19.31,0,7,0,1,0.70
1,13,23.0,37.8,0,7,0,2,0.57
2,31,65.0,32.05,1,9,0,2,8.08
0,1,33.0,21.78,0,1,1,1,0.31
1,43,5.0,41.08,2,1,0,2,9.18
1,35,31.0,8.65,2,1,0,1,9.93
0,1,55.00000000000001,7.76,0,1,1,2,0.27
0,31,57.99999999999999,28.46,0,1,1,2,2.07
3,12,25.0,21.99,2,4,2,4,1.06
3,12,67.0,39.39,2,4,2,4,2.06
1,42,7.000000000000001,21.31,0,1,0,2,3.26
0,15,93.0,49.56,1,9,1,1,12.06
1,43,91.0,38.08,1,9,0,2,7.08
1,1,60.0,23.97,0,1,0,2,3.73
0,38,96.0,10.97,2,1,1,2,2.35
1,5,28.999999999999996,49.69,0,1,0,1,0.23
0,38,100.0,17.63,0,7,1,2,0.56
0,38,44.0,41.3,0,1,1,2,5.17
0,15,35.0,44.99,0,1,1,1,7.12
0,12,15.0,5.98,0,1,1,2,1.07
0,38,52.0,48.1,0,1,1,2,2.06
2,15,12.0,6.17,0,1,1,1,0.23
0,9,46.0,34.32,2,1,1,1,0.23
1,21,92.0,38.5,0,1,0,1,0.28
1,34,86.0,35.22,0,1,0,2,6.16
0,15,46.0,38.65,2,1,1,1,8.18
3,1,73.0,41.45,2,4,2,4,0.15
2,1,56.99999999999999,20.53,1,9,1,2,1.07
1,1,90.0,48.54,0,1,0,1,0.36
1,31,45.0,37.89,0,1,0,2,0.90
1,12,57.99999999999999,39.06,0,7,0,2,6.20
0,1,42.0,45.95,0,8,1,2,2.53
0,31,48.0,20.24,2,4,1,2,15.07
1,1,55.00000000000001,31.56,0,7,0,2,2.57
0,1,37.0,32.14,0,1,1,2,1.09
0,15,72.0,39.02,0,1,1,1,0.24
0,17,16.0,42.42,0,1,1,1,0.24
2,15,32.0,27.16,2,4,0,1,2.07
0,43,90.0,7.37,0,1,1,2,3.08
1,15,54.0,9.89,2,1,0,1,0.22
0,43,12.0,36.53,0,1,1,2,0.54
3,15,15.0,11.0,1,9,2,1,0.12
1,1,3.0,20.09,2,1,0,1,0.27
0,1,60.0,6.37,0,1,1,2,0.27
0,43,36.0,39.65,0,1,1,2,2.07
0,12,38.0,43.52,0,1,1,2,1.08
0,43,16.0,11.19,0,1,1,2,2.08
1,31,46.0,13.29,0,1,0,2,2.07
0,42,14.000000000000002,31.59,0,1,1,2,0.32
1,1,91.0,12.26,2,9,0,1,0.49
0,38,11.0,49.35,0,7,1,2,2.85
0,1,4.0,15.56,1,9,1,2,2.50
0,1,80.0,12.56,0,7,1,2,5.06
0,31,45.0,46.58,0,1,1,2,8.71
0,12,43.0,31.23,1,9,1,2,1.16
1,12,91.0,43.03,0,8,0,2,2.08
0,5,30.0,39.55,0,1,1,1,0.36
1,30,69.0,46.18,0,7,0,1,2.63
3,4,9.0,27.53,1,9,2,1,0.06
2,19,11.0,5.1,2,4,1,2,5.06
0,30,57.99999999999999,28.01,2,9,1,1,0.75
3,1,28.999999999999996,20.03,1,9,2,1,0.10
2,1,72.0,29.24,2,4,0,4,2.05
3,25,77.0,22.77,2,4,2,4,1.05
2,31,72.0,24.11,0,7,1,2,0.51
1,1,61.0,24.81,0,1,0,2,0.28
0,34,37.0,44.9,0,1,1,2,1.08
3,25,68.0,22.57,2,4,2,4,2.06
0,20,86.0,17.22,0,1,1,2,1.07
2,15,70.0,19.55,0,1,0,1,0.36
0,1,85.0,37.95,0,7,1,1,0.67
1,43,84.0,18.87,0,1,0,2,2.08
2,38,37.0,41.99,0,7,0,2,12.06
0,12,64.0,29.08,0,1,1,2,0.40
0,42,67.0,24.04,0,1,1,2,0.65
0,1,37.0,30.62,1,9,1,2,1.52
0,7,88.0,25.82,0,1,1,2,2.08
1,5,59.0,46.36,0,1,0,2,7.07
1,43,36.0,47.89,0,1,0,2,2.08
2,1,51.0,35.72,1,9,0,1,0.14
0,19,42.0,16.87,2,4,1,2,14.07
2,1,33.0,42.79,0,7,0,2,2.06
2,12,30.0,32.0,0,7,0,2,10.07
0,12,62.0,35.6,0,7,1,2,8.55
0,1,11.0,24.18,0,7,1,2,0.48
2,43,9.0,8.9,1,9,0,4,1.18
0,12,22.0,46.21,1,9,1,2,6.07
1,31,80.0,33.64,0,1,0,2,7.06
2,1,42.0,7.79,1,9,0,2,0.74
3,12,5.0,27.8,2,4,2,4,2.06
0,40,25.0,33.77,0,1,1,1,2.21
2,38,57.99999999999999,24.62,0,7,1,4,8.06
3,1,53.0,43.15,2,4,2,4,2.06
1,30,49.0,16.49,0,1,0,1,6.12
0,15,60.0,46.02,2,1,1,1,0.32
1,1,11.0,25.51,0,7,0,2,13.32
0,31,38.0,31.92,0,7,1,2,11.42
2,43,15.0,16.59,1,9,0,1,1.06
3,12,94.0,8.1,0,7,2,4,3.06
1,42,39.0,24.21,1,9,0,2,15.08
0,40,32.0,39.34,0,1,1,1,2.14
1,31,51.0,35.61,1,9,0,2,2.07
1,13,50.0,28.88,0,1,0,2,2.30
1,43,43.0,12.76,0,7,0,2,1.47
1,1,28.000000000000004,22.95,0,1,0,1,1.08
1,1,25.0,21.17,0,1,0,2,0.21
0,43,16.0,28.7,1,9,1,2,2.12
0,40,70.0,43.72,0,1,1,1,0.27
1,12,68.0,20.05,0,7,0,2,6.91
2,15,80.0,37.07,2,9,1,1,0.73
0,5,47.0,5.64,0,1,1,2,2.09
3,25,91.0,37.58,2,4,2,4,2.06
1,43,34.0,23.3,0,1,0,2,0.25
0,1,8.0,47.77,0,1,1,2,0.30
2,15,60.0,49.53,1,9,0,1,0.06
1,43,38.0,45.6,0,7,0,2,1.19
0,13,82.0,34.31,0,1,1,2,2.08
1,31,50.0,24.35,0,7,0,2,9.08
3,1,79.0,34.37,2,9,2,1,0.32
2,15,63.0,42.43,1,9,0,1,0.39
0,1,96.0,18.54,0,7,1,2,4.06
1,36,56.99999999999999,29.23,0,1,0,2,1.07
0,15,68.0,15.67,2,1,1,1,0.24
1,19,22.0,15.36,0,7,0,2,1.07
0,5,17.0,44.2,2,9,1,1,1.07
3,1,97.0,39.71,2,2,2,1,7.07
1,12,19.0,49.1,0,7,0,2,4.06
1,1,18.0,46.09,2,1,0,2,1.18
0,43,83.0,12.16,1,9,1,2,1.07
2,1,27.0,25.29,1,9,0,1,0.49
2,13,6.0,35.06,0,7,1,2,2.77
2,38,57.99999999999999,49.34,1,9,1,2,2.08
0,35,91.0,33.74,1,9,1,1,2.08
2,39,22.0,26.26,1,9,1,1,0.33
1,15,63.0,15.92,0,1,0,1,0.22
2,12,49.0,10.73,0,8,0,2,6.07
1,1,40.0,45.95,0,1,0,2,6.08
1,43,37.0,25.56,0,7,0,2,0.53
0,43,8.0,36.71,1,9,1,2,1.07
3,12,20.0,46.85,2,4,2,4,2.06
2,40,43.0,24.45,1,9,1,1,0.18
3,43,96.0,33.33,2,1,2,0,0.25
1,31,83.0,28.62,0,7,0,2,4.08
2,1,45.0,9.38,1,9,1,2,0.52
1,30,72.0,28.64,0,1,0,1,0.36
1,1,33.0,49.13,0,1,0,2,1.06
0,40,7.000000000000001,28.04,2,1,1,1,0.27
0,38,10.0,40.13,0,1,1,2,1.19
1,43,22.0,45.95,0,1,0,2,2.07
1,42,83.0,16.81,1,9,0,2,4.81
0,40,25.0,11.37,0,1,1,1,7.08
0,5,27.0,45.34,0,1,1,2,1.08
0,12,72.0,13.26,0,1,1,2,1.38
3,15,37.0,10.27,1,9,2,1,0.10
3,43,84.0,30.58,0,7,2,0,1.07
2,43,56.99999999999999,36.93,1,9,1,2,14.33
1,31,67.0,27.1,0,1,0,2,2.08
1,43,96.0,12.72,2,4,0,2,3.25
1,9,23.0,27.85,0,1,0,1,0.27
1,1,91.0,21.01,0,1,0,2,0.28
0,1,9.0,18.95,0,1,1,1,0.26
2,15,49.0,41.15,1,9,1,1,0.19
0,1,38.0,39.66,0,1,1,1,0.43
1,5,71.0,34.74,0,1,0,2,3.08
1,22,46.0,8.92,0,1,0,2,2.21
2,1,36.0,19.05,1,9,0,1,0.15
2,1,40.0,11.06,0,1,1,1,0.20
0,39,85.0,32.69,0,1,1,1,4.15
0,42,69.0,20.2,0,1,1,2,4.07
2,30,85.0,19.27,2,9,0,1,0.56
1,20,69.0,7.03,0,7,0,2,0.23
1,30,14.000000000000002,20.66,2,1,0,1,0.35
2,15,13.0,37.08,0,1,1,1,0.23
1,1,57.99999999999999,9.55,0,1,0,2,0.57
1,5,51.0,18.38,0,1,0,1,0.30
1,1,101.0,47.23,0,7,0,2,3.10
0,43,98.0,9.07,1,9,1,2,2.07
0,38,90.0,38.83,0,1,1,2,0.26
1,1,44.0,21.07,2,1,0,1,0.23
1,38,52.0,46.57,0,1,0,2,1.09
0,43,71.0,18.07,1,9,1,2,2.08
2,43,26.0,44.45,1,9,0,2,2.06
2,15,23.0,12.47,1,9,0,1,0.25
2,1,51.0,49.74,1,9,1,2,2.23
1,43,99.0,20.19,0,7,0,2,1.06
2,43,38.0,46.51,0,7,1,2,1.55
1,21,96.0,22.06,0,1,0,1,0.32
0,1,70.0,48.34,2,9,1,1,0.90
1,1,68.0,6.45,2,1,0,2,9.63
1,38,22.0,22.73,0,1,0,2,4.34
0,19,9.0,46.37,0,1,1,2,1.36
1,24,97.0,33.7,0,7,0,2,13.10
3,5,50.0,49.31,2,4,2,1,5.06
0,1,72.0,17.48,0,1,1,2,0.43
0,19,83.0,48.31,0,1,1,2,2.87
2,43,7.000000000000001,23.97,1,9,1,1,0.17
2,9,94.0,14.72,1,9,0,1,0.12
1,15,78.0,19.39,2,1,0,1,0.22
1,38,52.0,20.93,2,4,0,2,7.08
1,43,67.0,25.12,2,1,0,1,0.27
2,43,46.0,30.12,0,7,1,2,10.06
0,1,93.0,48.61,0,1,1,1,1.03
2,5,70.0,24.67,2,9,1,1,1.06
2,43,63.0,25.38,1,9,0,2,0.16
0,1,17.0,19.35,0,7,1,2,2.07
1,44,2.0,32.82,1,9,0,2,10.07
2,43,17.0,18.25,0,7,0,2,2.06
0,1,26.0,33.45,0,1,1,2,0.93
